,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40,Japón,29.834,35.522,36.827,39.864,46.059,40.018,30.604,43.794,56.526,67.639,59.853,55.311,47.090,48.171,47.605,40.734,9.666,1.079,5.166
41,Lituania,148,208,385,484,742,441,487,523,600,844,868,814,1.043,1.142,1.348,1.303,351,192,949
42,Malasia,285,345,512,526,869,748,916,1.246,1.155,1.556,1.898,2.052,1.721,2.070,2.307,2.434,294,39,514
43,Marruecos,415,73,117,261,101,136,130,229,225,241,264,287,366,295,347,429,49,37,171
44,México,25.138,29.558,29.820,31.639,30.589,28.623,38.097,46.005,51.229,60.270,67.016,76.368,87.443,93.763,103.620,128.829,22.592,24.290,76.434
45,Nicaragua,880,945,912,1.090,1.062,1.203,1.117,1.269,1.393,1.287,1.421,1.480,1.873,2.041,1.667,1.836,266,222,987
46,Noruega,3.698,3.889,4.715,5.144,6.188,5.701,5.675,5.827,5.923,5.913,6.127,5.894,5.523,5.449,5.499,5.668,1.043,326,2.538
47,Nueva Zelandia,2.911,3.504,4.149,4.841,5.302,5.263,5.363,5.134,5.616,5.406,6.578,6.478,8.103,8.268,7.693,7.511,771,119,1.642
48,Paises Bajos (Holanda),16.465,17.529,17.849,24.262,27.031,25.530,24.795,24.486,24.831,25.299,26.765,28.606,33.582,34.979,35.629,36.526,5.734,3.272,22.088
49,Panamá,4.250,7.629,8.358,6.510,7.344,8.956,10.718,10.960,12.908,15.121,16.367,17.539,19.834,20.251,22.036,22.386,3.660,2.083,12.188
50,Paraguay,1.707,1.974,2.046,2.396,2.775,3.914,3.914,4.631,4.756,5.104,6.452,8.185,8.232,11.438,11.560,11.351,2.348,1.444,4.672
51,Polonia,2.450,3.678,4.661,5.256,8.169,7.510,6.140,6.268,6.076,7.960,7.224,8.140,7.894,8.396,9.271,10.815,2.207,1.838,7.389
52,Portugal,1.712,2.400,2.205,2.559,3.264,3.344,3.506,4.027,4.600,5.249,5.808,6.299,7.154,7.905,8.838,9.733,1.606,1.086,5.764
53,Pto. Rico,1.507,1.182,842,1.282,683,501,506,557,591,664,691,905,879,802,861,1.406,165,330,974
54,Reino Unido,49.885,59.218,60.277,67.067,66.455,58.629,54.182,55.415,56.386,56.783,61.234,63.213,69.302,69.506,74.124,71.322,11.682,2.782,35.446
55,Rep. Checa,1.976,2.546,3.005,3.386,3.624,3.569,3.052,3.211,3.568,4.336,3.659,4.346,4.799,4.767,5.509,6.030,962,571,3.497
56,Rep. Dominicana,1.323,2.045,2.318,2.424,3.122,4.676,3.719,3.234,2.800,2.962,2.768,3.394,3.341,7.132,8.882,8.842,1.322,1.997,7.411
57,Rumania,220,354,508,678,1.398,1.252,1.237,1.511,1.794,1.975,1.966,2.192,2.647,2.839,3.336,3.540,658,1.035,3.086
58,Rusia,2.070,2.518,3.039,4.100,5.560,5.373,5.487,7.429,8.469,8.966,9.405,8.145,9.395,8.648,8.921,10.152,2.669,2.570,4.323
59,Singapur,366,382,482,565,1.014,661,868,1.348,1.252,1.523,1.868,1.936,2.070,2.096,2.608,2.666,240,48,635
60,Sudáfrica,1.811,2.150,2.265,2.766,2.666,2.444,2.689,2.994,2.943,2.672,2.604,2.999,2.468,2.569,3.008,3.171,443,76,1.034
61,Suecia,6.139,7.072,7.952,9.185,9.931,8.971,9.337,9.895,10.664,11.014,11.480,11.530,11.170,11.298,11.624,11.531,2.516,1.630,5.341
62,Suiza,14.688,16.701,16.148,18.156,17.752,18.169,18.217,18.832,20.310,21.612,22.515,23.790,23.965,24.133,24.046,23.696,4.900,4.199,12.559
63,Tailandia,270,306,273,376,937,603,647,799,1.023,1.316,1.348,1.527,1.681,1.561,1.919,1.975,289,65,501
64,Taiwán,1.231,1.482,1.753,1.793,2.406,2.057,2.269,2.489,2.991,3.243,3.635,5.321,5.952,7.100,8.385,8.477,1.830,143,851
65,Trinidad y Tobago,217,248,256,335,334,366,460,364,499,602,604,665,601,637,581,778,82,42,239
66,Turquía,424,423,596,722,942,820,950,1.547,1.580,1.971,1.950,2.675,3.399,3.150,3.483,3.418,791,515,2.030
67,Ucrania,390,528,823,1.039,1.744,1.485,1.389,1.726,1.766,1.883,2.144,2.226,2.322,2.482,2.472,3.227,891,956,1.717
68,Uruguay,3.830,5.111,5.290,6.121,7.962,8.648,8.219,10.303,11.846,12.509,13.821,14.391,18.329,20.187,22.932,22.870,3.750,1.798,9.081
69,Venezuela,19.311,24.231,24.004,27.633,33.871,36.789,38.469,50.185,65.930,158.215,48.411,42.111,59.192,196.495,367.739,99.856,7.351,0,0
70,Vietnam,63,38,76,155,536,228,229,605,822,943,868,764,1.077,578,776,752,117,32,295
,Resto del Mundo,4.410,6.661,9.742,7.614,7.567,7.883,8.809,13.694,9.853,8.953,11.322,11.243,11.836,10.421,12.150,13.906,2.381,2.010,7.457
1/  Total Turistas Internacionales = Turistas extranjeros + Turistas peruanos residentes en el exterior,,,,,,,,,,,,,,,,,,,,
Fuente: Superintendencia Nacional de Migraciones,,,,,,,,,,,,,,,,,,,,
Elaboración: MINCETUR/VMT/DGIETA,,,,,,,,,,,,,,,,,,,,
Con información disponible a enero de 2023,,,,,,,,,,,,,,,,,,,,
